Symbol,Company Name,Security Type,IPO Year,IPO Start Date,IPO End Date,Listing Date,Issue Price (₹),Price Band Low (₹),Price Band High (₹),Face Value (₹),Lot Size (shares),Issue Size,Issue Type,Registrar,QIB Subscription (x),NII Subscription (x),RII Subscription (x),Employee Subscription (x),Total Subscription (x),QIB Shares Offered,NII Shares Offered,RII Shares Offered,Total Shares Offered,QIB Shares Bid For,NII Shares Bid For,RII Shares Bid For,Total Shares Bid For,Listing Day Close (₹),Listing Week Close (₹),Listing Day Gain (%),Listing Week Gain (%)
PRECAM,Precision Camshafts Limited,EQ,2016,27-JAN-2016,29-JAN-2016,08-FEB-2016,186.0,180.0,186.0,10.0,,"Public Issue of [.] Equity shares consisting of a fresh issue aggregating upto Rs 2,400 million & an offer for sale of 9,150,000 equity shares",100% Book Building,Link Intime India Private Limited,0.4829194463366509,0.0358428465530022,0.5690564198218185,,0.4306146338339961,4625699.0,3372500.0,7869167.0,15867366.0,2233840.0,120880.0,57120.0,6832720.0,156.09725952148438,139.11962890625,-16.076742192750338,-25.204500588037636
TEAMLEASE,TeamLease Services Limited,EQ,2016,02-FEB-2016,04-FEB-2016,12-FEB-2016,850.0,785.0,850.0,10.0,,"Public Issue of [.] Equity shares consisting of a fresh issue aggregating upto Rs 1,500 million & an offer for sale upto 32,19,733 equity shares (including Anchor Portion 22,38,498 equity shares)",100% Book Building,Karvy Computershare Private Limited,25.33462594644062,52.84121267986314,3.3153990969737683,0.0885,28.653997163962195,1601923.0,768084.0,512056.0,2892063.0,40584120.0,40586490.0,23481210.0,82869165.0,1022.8499755859375,1131.050048828125,20.33529124540441,33.06471162683823
QUICKHEAL,Quick Heal Technologies Limited,EQ,2016,08-FEB-2016,10-FEB-2016,18-FEB-2016,321.0,311.0,321.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,221.7266845703125,185.12889099121094,-30.92626648899922,-42.32744828934239
HITECH,Hi-Tech Pipes Limited,SME,2016,15-FEB-2016,19-FEB-2016,07-MAY-2018,380.0,50.0,50.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,66000.0,4656000.0,3993000.0,6954000.0,41.067047119140625,39.868988037109375,-89.19288233706826,-89.50816104286595
NHAI,National Highways Authority of India,NC,2016,24-FEB-2016,26-FEB-2016,11-MAR-2016,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
0IRFC35,Indian Railway Finance Corporation Limited,N0,2016,10-MAR-2016,14-MAR-2016,03-DEC-2025,,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
HECPROJECT,HEC Infra Projects Limited,SME,2016,10-MAR-2016,18-MAR-2016,30-DEC-2021,38.0,100.0,100.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,536400.0,364800.0,986400.0,34.29999923706055,31.600000381469727,-9.736844112998561,-16.842104259290196
WEALTH,Wealth First Portfolio Managers Limited,SME,2016,10-MAR-2016,18-MAR-2016,20-JAN-2021,92.1,50.0,50.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9000.0,1089000.0,1041000.0,2382000.0,87.56625366210938,104.347412109375,-4.922634460250401,13.297950173045608
HCG,HealthCare Global Enterprises Limited,EQ,2016,16-MAR-2016,18-MAR-2016,30-MAR-2016,218.0,205.0,218.0,10.0,,"Public Issue of upto 29,800,000 Equity shares (including Anchor Portion 13,410,000 equity shares) ",100% Book Building,Karvy Computershare Private Limited,1.5583931767337809,0.3183109619686801,0.4224563758389262,,1.0136549725442343,8940000.0,4470000.0,2980000.0,16390000.0,13932035.0,1422850.0,135525.0,16613805.0,178.5500030517578,181.89999389648438,-18.096328875340454,-16.559635827300745
BHARATWIRE,Bharat Wire Ropes Limited,EQ,2016,18-MAR-2016,22-MAR-2016,01-APR-2016,45.0,40.0,45.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,45.54999923706055,42.0,1.2222205268012152,-6.666666666666667
INFIBEAM,Infibeam Incorporation Limited,EQ,2016,21-MAR-2016,23-MAR-2016,04-APR-2016,432.0,360.0,432.0,10.0,,"Public Issue of [.] Equity shares aggregating upto Rs 4,500 Millions ",100% Book Building,Link Intime India Private Limited,0.51985728,0.0828693333333333,0.3660576,,0.43892912,9375000.0,1875000.0,1250000.0,12500000.0,4873662.0,155380.0,126990.0,5486614.0,9.211610794067383,9.292207717895508,-97.86768268655848,-97.84902599122789
EQUITAS,Equitas Holdings Limited,EQ,2016,05-APR-2016,07-APR-2016,21-APR-2016,110.0,109.0,110.0,10.0,,"Public Issue of [.] Equity shares consisting of a fresh issue aggregating upto Rs 7,200 million & an offer for sale upto  132,425,884 equity shares (including Anchor Portion 59,289,127 equity shares)",100% Book Building,Karvy Computershare Private Limited,6.254654583339025,14.357286484719506,0.4684841169230242,0.21168,5.090568875600877,39826336.0,29734640.0,69380826.0,139191802.0,249099975.0,426908745.0,176322555.0,708565455.0,,,,
THYROCARE,Thyrocare Technologies Limited,EQ,2016,27-APR-2016,29-APR-2016,09-MAY-2016,446.0,420.0,446.0,10.0,,"Public offer of upto 10,744,708 Equity shares (including Anchor Portion 32,23,411 equity shares)",100% Book Building,Link Intime India Private Limited,48.77428753312095,86.60164037259874,3.45171417266386,,34.218867703269794,2148942.0,1611707.0,3760648.0,7521297.0,104813115.0,139576470.0,85942890.0,257370267.0,167.89422607421875,169.68495178222656,-62.3555546918792,-61.95404668559943
UJJIVAN,Ujjivan Financial Services Limited,EQ,2016,28-APR-2016,02-MAY-2016,10-MAY-2016,210.0,207.0,210.0,10.0,,"Public Issue of [.] Equity shares consisting of a fresh issue aggregating upto Rs 3,581.61 million & an offer for sale upto 24,968,332 equity shares (including Anchor Portion 12,607,081 equity shares)",100% Book Building,Karvy Computershare Private Limited,19.28829401273007,58.62531560404434,1.5790952157707558,,18.8641203496286,8528311.0,6340619.0,14794776.0,29663706.0,164496570.0,371720790.0,223588960.0,559579720.0,,,,
PARAGMILK,Parag Milk Foods Limited,EQ,2016,04-MAY-2016,11-MAY-2016,19-MAY-2016,215.0,215.0,227.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,240.71517944335938,223.80662536621094,11.960548578306685,4.0961048214934594
SAGARDEEP,Sagardeep Alloys Limited,SME,2016,04-MAY-2016,09-MAY-2016,25-JAN-2019,95.0,20.0,20.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,48000.0,2502000.0,2286000.0,3798000.0,63.599998474121094,63.599998474121094,-33.05263318513569,-33.05263318513569
UNITEDPOLY,United Polyfab Gujarat Limited,SME,2016,25-MAY-2016,30-MAY-2016,31-DEC-2021,17.0,45.0,45.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,198000.0,1455000.0,849000.0,1824000.0,1.7350000143051147,2.1050000190734863,-89.7941175629111,-87.61764694662655
MGL,Mahanagar Gas Limited,EQ,2016,21-JUN-2016,23-JUN-2016,01-JUL-2016,421.0,380.0,421.0,10.0,,"Public offer of upto 24,694,500 Equity shares (including Anchor Portion of 7,348,350 equity shares)  ",100% Book Building,Link Intime India Private Limited,55.75390189634408,55.99672307388734,2.322072301945335,0.023975,28.75489056649458,4898900.0,3674175.0,8573075.0,17346150.0,273132790.0,205741760.0,111651190.0,498786645.0,402.71466064453125,388.9373474121094,-4.343311010800178,-7.6158319686201015
QUESS,Quess Corp Limited,EQ,2016,29-JUN-2016,01-JUL-2016,12-JUL-2016,317.0,310.0,317.0,10.0,,"Public Issue upto [.] Equity shares Aggregating to Rs 4000 million (including anchor portion of 56,78,234 Equity Shares)",100% Book Building,Link Intime India Private Limited,32.202930907657986,172.83670823916074,10.894438356164384,,66.34069790020085,3903023.0,1916251.0,1277500.0,7096774.0,125688780.0,331198515.0,207916380.0,470804940.0,453.1519470214844,452.11614990234375,42.950141016241126,42.62339113638604
KKVAPOW,KKV Agro Powers Limited,SME,2016,30-JUN-2016,07-JUL-2016,15-JUL-2016,320.0,320.0,320.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5600.0,132400.0,78800.0,227600.0,,,,
EHFLNCD,Edelweiss Housing Finance Limited,DEBT,2016,08-JUL-2016,11-JUL-2016,,,1000.0,1000.0,1000.0,,"Rs.2,500 million  with an option to retain oversubscription up to Rs. 2,500 million aggregating to Rs. 5,000 million",,Karvy Computershare Private Limited,,,,,0.0,,,,0.0,,,,0.0,,,,
LTI,Larsen & Toubro Infotech Limited,EQ,2016,11-JUL-2016,13-JUL-2016,21-JUL-2016,710.0,705.0,710.0,1.0,,"Public offer of upto17,500,000 Equity shares (Including Anchor portion of 5,250,000 Equity Shares)",100% Book Building,Link Intime India Private Limited,15.462817142857142,5.361371428571428,2.7045583673469387,,6.919092244897959,3500000.0,2625000.0,6125000.0,12250000.0,54119860.0,14073600.0,3909340.0,84758880.0,,,,
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,2016,20-JUL-2016,22-JUL-2016,01-AUG-2016,896.0,880.0,896.0,10.0,,"Public Offer of Upto [.] Equity Shares aggregating upto Rs. 500 million and Offer for Sale of upto 4,034,470  Equity Shares (Including Anchor portion of 13,71,053 Equity Shares)",100% Book Building,Link Intime India Private Limited,75.82368637556752,114.11790290674232,3.7435416918802176,0.6383992377322535,47.64588895873575,918908.0,686989.0,1602974.0,3234059.0,69674992.0,78397744.0,52531936.0,154089616.0,220.66659545898438,266.71612548828125,-75.37203175680978,-70.23257528032575
